positive_positive_edges,positive_with_positive_neighbor,isolated_positive_count,positive_component_count,positive_cluster_component_count,largest_positive_component,largest_positive_component_ratio,positive_neighbor_ratio,sample_size,positive_count,positive_rate,contact_edges,mean_degree_3day,mean_degree_per_day,contact_days,contact_types,age_groups,workplace_snowball_rounds,workplace_seed_positive_count,workplace_reachable_sample_size,seed,sample_index,path,attempts_used,sampling_conditions_met,target_age_groups,workplace_contact_types,target_day,contact_start_day,contact_end_day,max_positive_rate_condition,min_positive_count_condition,min_contact_edges_condition,nonoverlap_person_count_so_far,nonoverlap_edge_count_so_far,fast_workplace_nonoverlap
368,116,0,3,3,40,0.3448275862068966,1.0,3000,116,0.03866666666666667,12108,8.072,2.6906666666666665,37;38;39,1,2;3;4;5,2,116,3000,1,1,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample01_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,3000,12108,True
415,100,0,3,3,38,0.38,1.0,3000,100,0.03333333333333333,12107,8.071333333333333,2.6904444444444446,37;38;39,1,2;3;4;5,3,100,3000,1,2,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample02_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,6000,24215,True
268,84,0,3,3,29,0.34523809523809523,1.0,3000,84,0.028,11593,7.728666666666666,2.576222222222222,37;38;39,1,2;3;4;5,3,84,3000,1,3,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample03_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,9000,35808,True
260,75,0,3,3,26,0.3466666666666667,1.0,3000,75,0.025,10983,7.322,2.4406666666666665,37;38;39,1,2;3;4;5,3,75,3000,1,4,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample04_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,12000,46791,True
208,69,0,3,3,24,0.34782608695652173,1.0,3000,69,0.023,11378,7.585333333333334,2.5284444444444447,37;38;39,1,2;3;4;5,3,69,3000,1,5,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample05_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,15000,58169,True
190,58,0,3,3,20,0.3448275862068966,1.0,3000,58,0.019333333333333334,10919,7.279333333333334,2.4264444444444444,37;38;39,1,2;3;4;5,3,58,3000,1,6,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample06_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,18000,69088,True
169,55,0,3,3,19,0.34545454545454546,1.0,3000,55,0.018333333333333333,10893,7.262,2.4206666666666665,37;38;39,1,2;3;4;5,3,55,3000,1,7,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample07_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,21000,79981,True
158,52,0,3,3,18,0.34615384615384615,1.0,3000,52,0.017333333333333333,10361,6.907333333333334,2.3024444444444447,37;38;39,1,2;3;4;5,3,52,3000,1,8,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample08_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,24000,90342,True
178,51,0,3,3,17,0.3333333333333333,1.0,3000,51,0.017,10856,7.237333333333333,2.412444444444444,37;38;39,1,2;3;4;5,3,51,3000,1,9,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample09_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,27000,101198,True
181,65,0,4,4,17,0.26153846153846155,1.0,3000,65,0.021666666666666667,11091,7.394,2.4646666666666666,37;38;39,1,2;3;4;5,3,65,3000,1,10,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample10_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,30000,112289,True
216,62,0,4,4,16,0.25806451612903225,1.0,3000,62,0.020666666666666667,10820,7.213333333333333,2.404444444444444,37;38;39,1,2;3;4;5,3,62,3000,1,11,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample11_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,33000,123109,True
150,57,0,4,4,15,0.2631578947368421,1.0,3000,57,0.019,10355,6.903333333333333,2.301111111111111,37;38;39,1,2;3;4;5,3,57,3000,1,12,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample12_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,36000,133464,True
150,56,0,4,4,14,0.25,1.0,3000,56,0.018666666666666668,10654,7.102666666666667,2.3675555555555556,37;38;39,1,2;3;4;5,3,56,3000,1,13,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample13_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,39000,144118,True
206,54,0,4,4,14,0.25925925925925924,1.0,3000,54,0.018,11246,7.497333333333334,2.499111111111111,37;38;39,1,2;3;4;5,3,54,3000,1,14,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample14_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,42000,155364,True
160,52,0,4,4,13,0.25,1.0,3000,52,0.017333333333333333,10625,7.083333333333333,2.361111111111111,37;38;39,1,2;3;4;5,3,52,3000,1,15,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample15_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,45000,165989,True
152,61,0,5,5,13,0.21311475409836064,1.0,3000,61,0.02033333333333333,10597,7.064666666666667,2.354888888888889,37;38;39,1,2;3;4;5,3,61,3000,1,16,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample16_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,48000,176586,True
188,57,0,5,5,12,0.21052631578947367,1.0,3000,57,0.019,10635,7.09,2.3633333333333333,37;38;39,1,2;3;4;5,3,57,3000,1,17,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample17_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,51000,187221,True
174,55,0,5,5,11,0.2,1.0,3000,55,0.018333333333333333,11260,7.506666666666667,2.502222222222222,37;38;39,1,2;3;4;5,3,55,3000,1,18,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample18_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,54000,198481,True
164,55,0,5,5,11,0.2,1.0,3000,55,0.018333333333333333,10881,7.254,2.4179999999999997,37;38;39,1,2;3;4;5,3,55,3000,1,19,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample19_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,57000,209362,True
183,52,0,5,5,11,0.21153846153846154,1.0,3000,52,0.017333333333333333,10825,7.216666666666667,2.4055555555555554,37;38;39,1,2;3;4;5,3,52,3000,1,20,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample20_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,60000,220187,True
153,50,0,5,5,10,0.2,1.0,3000,50,0.016666666666666666,10843,7.228666666666666,2.4095555555555555,37;38;39,1,2;3;4;5,3,50,3000,1,21,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample21_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,63000,231030,True
157,50,0,5,5,10,0.2,1.0,3000,50,0.016666666666666666,10885,7.256666666666667,2.418888888888889,37;38;39,1,2;3;4;5,3,50,3000,1,22,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample22_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,66000,241915,True
189,58,0,6,6,10,0.1724137931034483,1.0,3000,58,0.019333333333333334,11098,7.398666666666666,2.466222222222222,37;38;39,1,2;3;4;5,3,58,3000,1,23,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample23_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,69000,253013,True
217,54,0,6,6,9,0.16666666666666666,1.0,3000,54,0.018,11361,7.574,2.5246666666666666,37;38;39,1,2;3;4;5,3,54,3000,1,24,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample24_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,72000,264374,True
139,54,0,6,6,9,0.16666666666666666,1.0,3000,54,0.018,10865,7.243333333333333,2.4144444444444444,37;38;39,1,2;3;4;5,3,54,3000,1,25,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample25_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,75000,275239,True
183,54,0,6,6,9,0.16666666666666666,1.0,3000,54,0.018,10939,7.292666666666666,2.4308888888888887,37;38;39,1,2;3;4;5,3,54,3000,1,26,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample26_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,78000,286178,True
155,53,0,6,6,9,0.16981132075471697,1.0,3000,53,0.017666666666666667,10634,7.089333333333333,2.363111111111111,37;38;39,1,2;3;4;5,3,53,3000,1,27,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample27_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,81000,296812,True
143,56,0,7,7,8,0.14285714285714285,1.0,3000,56,0.018666666666666668,10504,7.002666666666666,2.334222222222222,37;38;39,1,2;3;4;5,3,56,3000,1,28,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample28_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,84000,307316,True
160,56,0,7,7,8,0.14285714285714285,1.0,3000,56,0.018666666666666668,10799,7.199333333333334,2.399777777777778,37;38;39,1,2;3;4;5,3,56,3000,1,29,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample29_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,87000,318115,True
170,56,0,7,7,8,0.14285714285714285,1.0,3000,56,0.018666666666666668,10951,7.300666666666666,2.4335555555555555,37;38;39,1,2;3;4;5,3,56,3000,1,30,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample30_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,90000,329066,True
156,56,0,7,7,8,0.14285714285714285,1.0,3000,56,0.018666666666666668,10881,7.254,2.4179999999999997,37;38;39,1,2;3;4;5,3,56,3000,1,31,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample31_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,93000,339947,True
171,56,0,7,7,8,0.14285714285714285,1.0,3000,56,0.018666666666666668,10931,7.287333333333334,2.429111111111111,37;38;39,1,2;3;4;5,3,56,3000,1,32,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample32_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,96000,350878,True
137,53,0,7,7,8,0.1509433962264151,1.0,3000,53,0.017666666666666667,10746,7.164,2.388,37;38;39,1,2;3;4;5,3,53,3000,1,33,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample33_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,99000,361624,True
120,56,0,8,8,7,0.125,1.0,3000,56,0.018666666666666668,10595,7.0633333333333335,2.3544444444444443,37;38;39,1,2;3;4;5,3,56,3000,1,34,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample34_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,102000,372219,True
127,56,0,8,8,7,0.125,1.0,3000,56,0.018666666666666668,10886,7.257333333333333,2.419111111111111,37;38;39,1,2;3;4;5,3,56,3000,1,35,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample35_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,105000,383105,True
122,56,0,8,8,7,0.125,1.0,3000,56,0.018666666666666668,10682,7.121333333333333,2.3737777777777778,37;38;39,1,2;3;4;5,3,56,3000,1,36,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample36_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,108000,393787,True
118,52,0,8,8,7,0.1346153846153846,1.0,3000,52,0.017333333333333333,10897,7.264666666666667,2.4215555555555555,37;38;39,1,2;3;4;5,3,52,3000,1,37,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample37_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,111000,404684,True
114,54,0,9,9,6,0.1111111111111111,1.0,3000,54,0.018,10584,7.056,2.352,37;38;39,1,2;3;4;5,3,54,3000,1,38,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample38_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,114000,415268,True
122,54,0,9,9,6,0.1111111111111111,1.0,3000,54,0.018,10638,7.092,2.364,37;38;39,1,2;3;4;5,3,54,3000,1,39,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample39_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,117000,425906,True
118,54,0,9,9,6,0.1111111111111111,1.0,3000,54,0.018,10708,7.1386666666666665,2.3795555555555556,37;38;39,1,2;3;4;5,3,54,3000,1,40,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample40_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,120000,436614,True
111,54,0,9,9,6,0.1111111111111111,1.0,3000,54,0.018,10922,7.281333333333333,2.427111111111111,37;38;39,1,2;3;4;5,3,54,3000,1,41,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample41_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,123000,447536,True
113,52,0,9,9,6,0.11538461538461539,1.0,3000,52,0.017333333333333333,10497,6.998,2.332666666666667,37;38;39,1,2;3;4;5,3,52,3000,1,42,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample42_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,126000,458033,True
101,50,0,10,10,5,0.1,1.0,3000,50,0.016666666666666666,10588,7.058666666666666,2.352888888888889,37;38;39,1,2;3;4;5,3,50,3000,1,43,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample43_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,129000,468621,True
102,50,0,10,10,5,0.1,1.0,3000,50,0.016666666666666666,11091,7.394,2.4646666666666666,37;38;39,1,2;3;4;5,3,50,3000,1,44,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample44_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,132000,479712,True
101,50,0,10,10,5,0.1,1.0,3000,50,0.016666666666666666,10773,7.182,2.394,37;38;39,1,2;3;4;5,3,50,3000,1,45,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample45_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,135000,490485,True
106,50,0,10,10,5,0.1,1.0,3000,50,0.016666666666666666,10799,7.199333333333334,2.399777777777778,37;38;39,1,2;3;4;5,3,50,3000,1,46,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample46_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,138000,501284,True
98,50,0,10,10,5,0.1,1.0,3000,50,0.016666666666666666,10697,7.131333333333333,2.377111111111111,37;38;39,1,2;3;4;5,3,50,3000,1,47,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample47_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,141000,511981,True
105,50,0,10,10,5,0.1,1.0,3000,50,0.016666666666666666,10907,7.271333333333334,2.423777777777778,37;38;39,1,2;3;4;5,3,50,3000,1,48,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample48_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,144000,522888,True
96,52,0,12,12,5,0.09615384615384616,1.0,3000,52,0.017333333333333333,10600,7.066666666666666,2.3555555555555556,37;38;39,1,2;3;4;5,3,52,3000,1,49,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample49_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,147000,533488,True
87,52,0,13,13,4,0.07692307692307693,1.0,3000,52,0.017333333333333333,11003,7.335333333333334,2.4451111111111112,37;38;39,1,2;3;4;5,3,52,3000,1,50,openabm_sample_outputs_workplace_final/seed_1/samples/company_n3000_sample50_maxpos5pct_work,1,True,2;3;4;5,1,40,37,39,0.05,30,10000,150000,544491,True
